totalCaseData,day
332984,232
332924,231
331209,230
328999,229
326374,228
324725,227
322542,226
319705,225
316611,224
313770,223
310775,222
307328,221
305277,220
303093,219
300512,218
297853,217
295239,216
293324,215
292071,214
291104,213
290069,212
288691,211
287365,210
286230,209
285177,208
284097,207
283404,206
282692,205
281693,204
280475,203
279400,202
278476,201
277339,200
276813,199
276167,198
275125,197
274106,196
273013,195
271800,194
270448,193
269892,192
269253,191
268395,190
267414,189
266469,188
265548,187
264608,186
264095,185
263601,184
262979,183
262123,182
261153,181
260373,180
259564,179
259048,178
258558,177
257842,176
257109,175
256360,174
255670,173
254916,172
254502,171
254035,170
253489,169
252849,168
252126,167
251474,166
250785,165
250433,164
250013,163
249492,162
248807,161
248134,160
247577,159
246922,158
246383,157
245995,156
245454,155
244893,154
244283,153
243712,152
243045,151
242634,150
242130,149
241485,148
240848,147
240120,146
239393,145
238577,144
238026,143
237397,142
236581,141
235639,140
234728,139
233734,138
232798,137
232052,136
231264,135
230327,134
229410,133
228326,132
227270,131
226280,130
225617,129
224895,128
223874,127
222730,126
221487,125
220131,124
218821,123
217835,122
216837,121
215464,120
213892,119
212280,118
210820,117
209438,116
208240,115
206943,114
205146,113
202873,112
200519,111
197936,110
195721,109
194129,108
192358,107
190232,106
188023,105
185141,104
182216,103
179148,102
177141,101
175350,100
172728,99
169528,98
166258,97
163112,96
160271,95
157638,94
154897,93
150800,92
146488,91
141744,90
137625,89
133594,88
130460,87
127084,86
122720,85
118156,84
113363,83
109390,82
105697,81
102223,80
98102,79
94026,78
89658,77
85425,76
81858,75
78421,74
75475,73
72398,72
68818,71
64752,70
60453,69
55878,68
51492,67
48407,66
45021,65
40920,64
36844,63
32744,62
28955,61
25430,60
22990,59
20615,58
17955,57
15340,56
13075,55
11050,54
9032,53
7823,52
6789,51
5707,50
4777,49
3868,48
3187,47
2641,46
2243,45
1929,44
1537,43
1122,42
769,41
546,40
422,39
372,38
325,37
252,36
205,35
156,34
104,33
65,32
45,31
40,30
29,29
22,28
18,27
13,26
11,25
10,24
10,23
9,22
9,21
9,20
9,19
9,18
9,17
9,16
9,15
9,14
9,13
8,12
8,11
7,10
3,9
3,8
3,7
2,6
2,5
2,4
2,3
2,2
2,1
